"","QKEY","Anticipate","AnticipateYes","AnticipateNo"
"188",133435,"Refused",0,0
"230",142838,"Refused",0,0
"327",167110,"Refused",0,0
"597",230582,"Refused",0,0
"729",286663,"Refused",0,0
"852",311665,"Refused",0,0
"877",317005,"Refused",0,0
"940",327776,"Refused",0,0
"1082",606763,"Refused",0,0
"1137",611890,"Refused",0,0
"1157",613750,"Refused",0,0
"1240",621821,"Refused",0,0
"1387",640394,"Refused",0,0
"1409",644779,"Refused",0,0
"1912",696998,"Refused",0,0
"2135",721611,"Refused",0,0
"2283",201501149791,"Refused",0,0
"2312",201501177102,"Refused",0,0
"2691",201501610716,"Refused",0,0
"2740",201501615662,"Refused",0,0
"2935",201501655521,"Refused",0,0
"3247",201501702153,"Refused",0,0
"3679",201701636928,"Refused",0,0
"3769",201701662709,"Refused",0,0
"3931",201701711731,"Refused",0,0
"4246",201801012915,"Refused",0,0
"4301",201801015839,"Refused",0,0
"4359",201801018651,"Refused",0,0
"4778",201801039663,"Refused",0,0
"6060",201801085401,"Refused",0,0
"6098",201801086361,"Refused",0,0
"6886",201801108412,"Refused",0,0
"7401",201801125026,"Refused",0,0
"7773",201801135540,"Refused",0,0
"8343",201801149467,"Refused",0,0
"8802",201801163550,"Refused",0,0
"8902",201801166524,"Refused",0,0
"8928",201801167168,"Refused",0,0
"9343",201801179274,"Refused",0,0
"9668",201801187144,"Refused",0,0
"10106",201901007050,"Refused",0,0
"10154",201901008884,"Refused",0,0
"10333",201901016205,"Refused",0,0
"10635",201901021466,"Refused",0,0
"11800",201901051338,"Refused",0,0
"11871",201901054121,"Refused",0,0
"11924",201901055490,"Refused",0,0
"12059",201901060021,"Refused",0,0
"12141",201901062784,"Refused",0,0
"12337",201901069057,"Refused",0,0
"12497",201901074602,"Refused",0,0
"12534",201901075576,"Refused",0,0
"12613",201901078815,"Refused",0,0
